小程序名称,评价人数,人气,好评率,分类,标签,作者,发布时间,小程序介绍,评分
亿欧plus,0,43276,0%,阅读资讯,新闻最新资讯,亿欧plus,2017-01-18,专注于新科技、新理念与产业结合的内容平台，是互联网创业者和产业创新者的首选学习平台。,0.0
观智科技,2,42868,100%,社交社区,小程序开发网站建设网页设计,百乐,2017-01-17,"一群热爱技术、设计、营销、运营的互联网技术团队，我们在互联网行业工作9年，
从初入江湖到对项目的身经百战，最早是为中小企业做网站和各种门户站，以电商平台的建设，
目前到移动网页的开发，和微信网站的开发，H5页面制作到最新的小程序开发。",5.0
记账e,2,42616,90%,金融理财,投资理财金融,邓仔,2017-01-06,日常收支记账，花销、开支分类记录，理财小帮手,4.5
易塑网+,1,41915,100%,购物商城,塑化电商塑料原料改性塑料,易塑网（186086.com）,2017-02-17,买卖塑料，上易塑网,5.0
本地天气,1,41484,100%,工具天气,天气工具生活,坚果科技,2017-01-16,本地实时天气预报查询,5.0
亲戚关系,7,41091,100%,工具计算器,计算工具生活服务,六坤,2017-01-09,亲戚关系是一款最全面的中国亲戚关系计算器，走亲访友，逢年过节必备神器，避免叫错、不会叫亲戚的尴尬，人人必备亲戚关系工具。,5.0
小睡眠,10,40676,100%,工具时钟,健康生活服务,心潮科技,2017-01-08,心潮小睡眠是一款睡前辅助小程序，数十种最纯粹的天然白噪音，帮你阻挡世界的嘈杂，营造完美氛围。今夜拥有小睡眠，梦里细雨微风、落叶飞雪…,5.0
健康汇lite,4,39958,100%,健康健康,健康资讯视频,健康汇lite,2017-01-19,提供有价值的健康资讯、精选高质量的健康短视频，健康汇APP-小程序。,5.0
生理节律,0,39762,0%,健康健康,工具生理节律人体节律信息查询,生理节律,2017-01-19,提供专业的生理节律（人体节律）查询功能。,0.0
荔枝FM播客,5,39134,96%,音乐在线音乐,,lizhiapp,2016-12-27,荔枝FM，人人都是播客，最具原创活力的播客平台。通过荔枝FM小程序，可随时随地收听声音电台直播。,4.8
最美贺卡,9,38722,98%,社交社区,祝福贺卡新年贺卡音乐贺卡,最美贺卡,2017-01-19,新年必备的微信小程序，让拜年变得简单而有创意,4.9
大众点评+,7,38267,98%,购物商城,美食分享电影休闲娱乐,大众点评+,2017-01-12,吃喝玩乐，尽在大众点评。,4.9
碎乐＋,8,38123,96%,音乐在线音乐,资讯音乐语音,碎乐,2017-01-20,乐坛天王天后、音乐大咖、创作奇才齐聚碎乐！ 汪峰、李健、邓紫棋、薛之谦、谭维维、赵雷、常石磊、李志等音乐大咖带你玩赚音乐，创造不一样的音乐新元素，聆听中国好声音！ 碎乐，全新的音乐品类. 来碎乐，与音乐大咖及原创作者近距离玩音乐. 来碎乐，每个人都可以成为音乐的创作者，获得赞赏，得到收入. 在这碎片化的时代 已没有磁带唱片 音乐也不再是歌单 点滴碎片的音乐 才是音乐娱乐本性的回归 在碎乐 天王天后明星 酒吧地铁DJ 亦或居家写字楼喜欢音乐的你 随时随地用音乐表达生活 倾听、目睹不一样的音乐 你可以 在有感的时间轴上 用弹幕留下自己的存在 也可以 用礼物表达对音乐的喜爱 喜欢某个音乐人 只需一句提问 换回磁性或者温婉的真声答复 在碎乐 每个人都是音乐的创作者 每个人都可以 在最近的距离 感受音乐 感受音乐人的温度 在碎乐 我们一起玩音乐,4.8
德州扑克工具,0,37635,0%,工具计算器,金融生活服务社交,德州扑克工具,2017-01-13,中国最大的德州扑克工具平台。包括 ①盈亏记录 ②胜率计算 ③保险计算 ④德州财神 ⑤活动神器。更多工具持续更新中。,0.0
百道搜书神器,1,37548,100%,阅读电子书,信息查询搜书工具,bookdao,2017-01-20,信息查询，搜索书籍，杂志,5.0
音乐站,9,37289,100%,音乐在线音乐,音乐朋友圈音乐,腾讯,2017-05-20,音乐旅途，和他们一起听歌,5.0
天气e,3,37206,100%,工具天气,生活服务旅游效率,邓仔,2017-01-06,天气信息查询，未来15日内气象、温度、PM2.5等信息查询,5.0
道客阅读,0,37192,0%,阅读电子书,文档阅读信息咨询在线教育,道客阅读,2017-01-20,道客阅读是道客巴巴官方推出的小程序，致力于更优质的文档阅读体验，可以轻松搜索阅读道客巴巴网站的全部文档.,0.0
二手车e,2,37150,100%,生活汽车,二手车信息资讯评估在线查询,邓仔,2017-01-06,二手车信息、资讯、评估、在线查询服务,5.0
美文日历,0,37122,0%,工具日历,日历天气效率美文,美文日历,2017-01-19,美文日历，每天一句美文，伴随你一生。,0.0
亲友相册,2,36304,100%,图像美化滤镜,相册图像美化滤镜工具,ppgo,2017-01-20,好时光，齐分享 -- 亲友相册。 通过你最美的照片，跟亲友一起，分享每一个瞬间。,5.0
爱弹唱,11,36008,98%,音乐在线音乐,吉他教学学习音乐,爱弹唱,2016-12-28,爱弹唱 吉他曲谱 尤克里里曲谱 吉他教学 尤克里里教学 吉他 尤克里里,4.9
单位换算器,0,35678,0%,工具计算器,单位换算办公效率教育,福熊网络,2017-01-17,单位换算器 - 帮您精准换算各种计量单位，是您学习、工作、生活的好帮手。例如：一罐330ml可乐含有热量594千焦(kJ)=141.9066大卡(kcal),0.0
同程火车出行,1,34596,100%,出行交通,交通出行火车票酒店飞机票,同程火车出行,2017-01-13,支持查询预订高铁、动车、火车票；,5.0
决胜前端,12,32836,96%,教育学习,简历制作简历投递人事面试技术面试入职与工作,HTML5学堂（码匠）,2017-02-06,为您解决“简历制作、投递、人事面试、技术面试、入职与工作”中的疑问，分享职场相关知识和感悟，让我们一起决胜前端！—码匠,4.8
番茄闹钟,2,32053,100%,工具时钟,生活备忘录,小朝,2017-01-10,微信上就能用的番茄闹钟，让你保持专注每个25分钟！,5.0
赶集找工作,3,31967,100%,办公办公软件,求职招聘找工作,赶集找工作,2017-01-13,找工作，找人才就在赶集网！,5.0
汇率e,1,30418,100%,工具计算器,金融投资理财汇率查询,邓仔,2017-01-06,汇率查询及相关服务,5.0
情侣相册,2,30404,100%,图像美化滤镜,纪念相册网络相册DIY相册视频,恋爱记,2017-01-10,和恋人共同管理你们的照片和视频。两人共用的私密空间，照片视频轻松上传云端存储。,5.0
孕妈能不能吃,1,30030,100%,母婴育儿,育儿美食养生生活服务,孕妈能不能吃,2017-01-17,孕妈能不能吃，是一款针对女性在孕期，月子，哺乳期间及宝宝辅食的饮食禁忌指南。,5.0
轻芒杂志,14,29955,96%,阅读杂志,时尚资讯阅读社交学习,inneruniverse_,2016-12-28,"每个人都有兴趣，如果没有，就该培养一个。

超过 160 本精选兴趣杂志：涵盖家居、美食、护肤、艺文、宠物、运动、科技、旅行、手工等所有生活领域。从入门知识，到好物、配方和去处，每天更新适读好文章。还可以把你的兴趣告诉小花，它就能帮你定制一本自己的杂志。

简洁优美的笔记：在文章中发现别人留下的笔记、划下的重点，在分享的过程中发现更多乐趣。而只要轻松长按一段话或一张图，就可以方便添加你自己的笔记和摘录。

低密度排版：给生活足够的留白，希望你能每天轻松愉悦地打开。",4.8
猫眼电影,5,29623,100%,生活票务,电影票电影资讯,Joe_志文,2017-01-10,一如既往为大家提供电影购票福利,5.0
科技日历,1,29441,100%,阅读资讯,日历咨询,Felix,2017-01-09,中关村在线出品，便于用户查询科技行业将来及过往新品发布会、行业展会、高端访谈信息，浏览最新科技资讯，翻看趣味科技老黄历。,5.0
易菜谱,2,28826,100%,生活美食,菜谱提升厨艺美食推荐,易菜谱,2017-01-13,指尖上的美食菜谱，为各位美食爱好量身定制的微信小程序。,5.0
腾讯加油卡服务,2,27712,100%,工具查询,加油卡充值余额查询,PrinCe,2017-01-09,提供括中石化、中石油、中海油等加油卡充值服务、余额查询等服务。,5.0
小故事Pro,1,27123,80%,阅读听书,有声读物睡前故事性格养成,小故事Pro,2017-01-17,小故事，篇幅短小，故事情节简单而又富于哲理的故事,4.0
鹿吃青年,7,26712,98%,生活美食,工具生活美食,糖小面儿,2017-04-25,山中有树树下有鹿，你来我往，你走我藏！,4.9
狐秀,0,26666,0%,阅读资讯,文章视频笑话漫画,狐秀,2017-01-17,狐秀是一个轻杂志应用，每天放送有趣的文章、图片以及视频。,0.0
美家帮互联网装修,0,26521,0%,生活家装,房贷计算买房必备房产信息装修顾问,丁玲lynn,2017-01-09,美家帮是互联网家装第一股（股票代码836509）。主打精装777元/㎡、十大一线品牌、APP在线监工、40天科学工期，让装修从此透明！,0.0
青蜻蜓,3,25831,74%,音乐在线音乐,搞笑段子媒体广告趣味阅读趣味聊天,QingTing.FM,2017-01-09,"听广播电台，有声小说，相声小品，新闻，音乐，脱口秀，历史，军事就用蜻蜓FM！
你想听的我们都有，两亿用户都在用！",3.7
今日头条lite,2,25803,80%,阅读资讯,新闻社交音乐视频,今日头条lite,2017-01-11,“今日头条”是一款基于数据挖掘技术的个性化推荐引擎产品，它为用户推荐有价值的、个性化的信息，提供连接人与信息的新型服务。,4.0
值得买京东优选,1,25567,80%,购物商城,护肤品3C数码购物攻略,什么值得买,2017-01-09,"什么值得买京东优选:推荐京东商城最值得买的商品。
1.优选:值得买小编精心挑选最值商品
2.发现:更多值友爆料商品，还能分类筛选",4.0
形色识花,7,25431,94%,工具查询,工具信息查询,形色识花+,2017-01-19,『形色识花+』是由『形色App』出品的识花小程序。只需1秒就能知道植物的名字和寓意，探索大自然的奥秘。,4.7
金牌房贷计算器,0,25244,0%,工具计算器,计算工具买房必备房产信息装修顾问,金牌房贷计算器,2017-01-17,金牌房贷计算器专为金牌房产销售的您！全面支持公积金贷款，商业贷款，组合贷款让您轻松应对客户，创造销售神话！,0.0
腾讯翻译,0,24859,0%,工具查询,腾讯翻译英语,腾讯,2017-01-21,腾讯翻译是腾讯出品的一款可进行多国翻译软件。软件可实现各国语言实时在线翻译，让用户口语学习与出国再无语言障碍，手机轻松进行翻译，喜欢的用户欢迎下载使用。,0.0
图文神器,1,24758,100%,社交社区,,图文神器,2017-01-12,首个小程序长图文发布工具，可以用来写游记，日记，还可以生成文章快照保存分享到朋友圈。,5.0
熊猫记账,2,24648,100%,工具计算器,精准报表记账理财房贷计算器,熊猫记账,2017-02-05,熊猫记账小程序是熊猫金库旗下的记账应用，专注为您提供最方便快捷的记账服务；精准报表帮您分析收支状况，每天只需3秒养成理财好习惯。,5.0
肯德基+,3,24483,100%,生活美食,生活美食,肯德基+,2017-04-01,肯德基手机自助点餐，随时随地，点餐不排队！还能享受惊喜优惠，积累K金，兑换缤纷好礼！,5.0
技能街名录,4,24330,100%,社交社区,,技能街名录,2017-01-11,"技能街名录 是一个技能共享平台。
在这里，你可以了解更多技能人、技能，学习或交换你喜欢的技能。
技能街，让你我更有价值。",5.0
旅行翻译,2,23852,90%,工具查询,教育在线翻译,szdufeng,2017-01-09,"旅行翻译
多国语言
翻译
语言障碍",4.5
直捣电影,3,23644,100%,视频在线视频,,steven,2017-01-09,"1.提供最近热映电影展示（影院热映）
2.提供电影搜索（查询电影）
3.提供电影排行榜展示（电影推荐）
4.提供tab和内页的分享功能",5.0
嗨图,2,23474,100%,社交表情头像,搞笑段子媒体广告趣味阅读表情包,-Fionaaa,2017-01-09,微信制作专属表情包，蓝色大海的传说、鬼怪、网络热图....海量素材只要你想的到的全都有，一键换字炒鸡方便！斗图、发朋友圈装x，你逗逼道路上的神助攻get√（微信搜索小程序：嗨图）,5.0
听闻FM电台,6,23444,100%,音乐在线音乐,,听闻,2017-01-11,随时随地用语音来感受新闻热点的软件，奇闻、体育、娱乐、财经、科技、真人录制每日在线更新。,5.0
霾太,0,23403,0%,工具天气,雾霾效率空气质量雾霾预报,霾太,2017-02-03,关注空气质量，7天雾霾预报,0.0
豆果美食菜谱精选厨房必备,1,22868,80%,生活美食,菜谱提升厨艺美食推荐,豆果美食,2017-01-09,最 In 的美食推荐、最贴心的时令食材、最多样的菜谱方案，随时随地 hold 住你的胃，变革你的厨房体验。豆果美食，开启美味生活。,4.0
伴米说,2,22797,90%,音乐在线音乐,,????CharlieChee?,2017-01-10,【伴米说】聚集了来自世界各地当地人诉说的好玩有料的语音；他们将自己的知识、经历等信息分享给你听！,4.5
笑逗吧,4,22654,90%,社交娱乐,搞笑有趣视频搞笑图片搞笑视频幽默,东莞科创软件有限公司,2017-02-08,为了统治地球，不，是宇宙，我们决定用白痴、搞笑的图片和影片征服人类和外星人。愚蠢的人类，准备『笑?死』吧。,4.5
句逗,3,22380,100%,阅读杂志,搞笑段子媒体广告趣味阅读趣味聊天,caicheng,2017-01-09,"句逗-与喜欢的句子不期而遇

这里只有句子，严肃的句子，励志的句子，唯美的句子，心动的句子，伤感的句子，愿你每天能遇到一句让你赏心的话，一幅悦目的图，更愿你因此天天有个好心情。",5.0
刷卡优惠,0,22372,0%,金融理财,,省呗,2017-01-09,为你私人订制的刷卡优惠信息，最优惠的信用卡还款方式！省呗还可以帮你垫付信用卡还款，用省呗还信用卡，利率仅是银行最低还款利率的六折。如果你还在为每月的信用卡账单而烦恼、为每月只能偿还信用卡的最低还款而支付大额利息心痛不已，省呗也许是你正在寻找的，我们可以帮你改变这些窘境。,0.0
同程旅游,2,22333,100%,旅游旅行,交通出行火车票酒店飞机票,同程旅游,2017-01-09,"同程小程序是一款无需下载安装，只需扫描二维码即可

实现产品订购和增值服务的应用，目前开放了火车票、

飞机票、汽车票、酒店、景点等多个产品入口，并已全

部完成小程序的搭建。在不久的将来，用户在到达火车

站、机场、汽车站、景区、门店等场景时，可轻松实现

扫码购票和到场服务。
同程致力于打造不同场景的差异化服务，将对旗下产品

做出全线智慧升级，以更丰富多元的产品，依托小程序

，领跑智慧出行。",5.0
快递100小助手,0,22308,0%,工具查询,快递查询信息查询,快递100小助手,2016-12-28,查快递，寄快递，上快递100小助手,0.0
口袋书架,6,22190,96%,阅读杂志,,美丽阅读,2017-01-08,口袋书架是最好有的书籍管理工具的小程序版本,4.8
查快递小助手,0,22188,0%,工具查询,快递物流邮政工具,麦格科技,2017-01-23,扫一扫，自动识别快递单。提供上百家常用快递、物流公司的快递单号查询。,0.0
非常准查航班,0,22017,0%,出行航班,,Joe_志文,2017-01-11,航班信息快速查,0.0
人人词典,1,21869,100%,教育单词字典,学习工具英语单词速记,铜矿,2016-12-27,"人人影视字幕组官方旗下产品,基于字幕组十年来积累的美剧日剧双语字幕大数据打造的的词典应用。开创性的采用声像并茂的双语字幕作为例句来诠释单词。",5.0
斗图表情包神器,1,21849,100%,社交表情头像,搞笑段子表情包趣味阅读趣味聊天,重庆七步科技有限公司,2017-01-09,斗图表情包 - 轻松制作最硬最low最抢眼的表情包。使用斗图表情包神器，斗图永远不会输。Gif 动效 搞笑 趣味 娱乐都不能少。,5.0
企查查企业查询,0,21761,0%,办公办公软件,轻松办公信息分享信息查询,企查查,2017-01-09,企查查为用户提供快速查询企业工商信息、法院判决信息、关联企业信息、法律诉讼、失信信息、被执行人信息、知识产权信息、公司新闻、招聘信息、企业年报等服务。,0.0
吃哪家,1,21634,100%,生活美食,生活服务美食周边搜索,吃哪家,2017-01-17,严选武汉美食推荐，十秒决定吃哪家。帮助武汉的吃货们快速挑选出附近或指定地点的行家精选美食,5.0
新品有戏应用,0,21400,0%,购物商城,视频商城购物攻略生活服务,新品有戏,2017-01-06,新品有戏应用每日都会发布一款具有生活品质的新产品，一日一物，通过20秒短视频的方式让你了解到该产品的设计与功能，更直观的表达产品的真实应用场景，每个产品都能一步直接购买，让用户享受到新产品对其生活的改变，Make Life Simple。,0.0
数胎动,4,21257,100%,母婴育儿,药品医疗仪器医疗咨询,翼帆网络,2017-01-09,一款极简的胎动计数器，怀孕期准妈妈必备的胎动记录工具。,5.0
卷皮折扣,9,21146,88%,购物商城,购物商城折扣生活购物男装女装,卷皮折扣,2017-01-12,全场1折特卖，9.9元起全场包邮。每天10点准时更新开抢！让购物更省钱，让您花的更少，过得更好！,4.4
呼噜博士讲故事,0,21043,0%,阅读听书,有声读物幼儿音乐性格养成睡前故事,呼噜博士讲故事,2017-01-11,专注智慧教育，陪伴孩子快乐成长的好朋友。呼噜博士与孩子一起在故事王国里探索世界的爱与勇气、智慧与能力，引导内心的正能量。,0.0
一首一首诗,0,21018,0%,教育儿童教育,阅读社交学习,美丽阅读,2016-12-28,"获奖应用“给孩子的诗”的小程序版本。

在这里，每天都能遇到一首新的诗歌，朗读，是和它们交朋友的最佳方式。用录音为诗歌注入你的元素，这是属于你独一无二的诗集。",0.0
懒虫背单词,15,20973,98%,教育单词字典,学习工具英语单词速记,懒虫背单词,2017-01-12,"专业的英语学习软件.词汇涵盖:高中,四六级,考研,托福,雅思,托业,SAT,GRE,GMAT,行业英语.科学方法:智能推送每日任务,高效记忆",4.9
一把刀新华字典,2,20930,100%,教育单词字典,,xinhuazidian,2017-01-11,收录两万多个汉字，可按部首、拼音、文字、字的总笔画查字，可查到字的五笔、读音、含义、组词、词性、英文翻译、出处等。,5.0
段掌柜,4,20910,100%,阅读资讯,社交最新资讯,段掌柜,2017-01-09,直接扫描段掌柜二维码，就可以登录登录小程序啦~。,5.0
深睡大师,0,20885,0%,健康健康,催眠睡前必备助眠引导音乐,考拉FM,2016-12-28,"由考拉FM出品的助眠类音频程序“深睡大师”，集聚了万千催眠好声音，帮你放松熟睡，给你高质量睡眠。
深睡大师，包括了天籁的大自然音乐、治愈系暖文、优美散文及专家助眠引导等优质内容。每晚收听这些声音，使人心情宁静，轻松地进入睡眠，从而告别失眠、烦躁和抑郁的生活。",0.0
银天下盯盘,1,20804,100%,金融创投,银天下 盯盘 贵金属 预警 白银 现货 股票,上海银天下科技有限公司,2017-04-20,“银天下盯盘”属银科控股旗下产品，提供津贵所和广贵中心 各主要贵金属交易品种（卖价为主）的基本报价，辅助客户盯盘和发送预警通知，助力银天下客户牢牢抓住交易机会。,5.0
高校图书馆查询,0,20793,0%,工具查询,图书查询教育生活服务,小日子先生,2016-12-27,提供了主要的高等院校的图书馆查询，包含了图书关键词查询，书目详情（馆藏地、状态）等服务。目前支持的高校在持续添加中...,0.0
上海银天下,5,20770,100%,金融理财,电子盘投资,上海银天下,2017-01-23,银天下旗下的小程序，发布线上大宗商品现货电子盘业务。,5.0
